;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;COLE_JORNADA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
39;Estrato 1;BOLIVAR;TARDE;42.97604599169594;46.89971255190035;43.93516448419035;49.29415522197381;44.92175023954008;229.30054295752157
40;Estrato 1;BOLIVAR;UNICA;43.57227138643068;48.13716814159292;44.023598820059;49.19911504424779;45.769911504424776;232.33333333333334
41;Estrato 1;BOYACA;COMPLETA;46.938643067846606;52.63185840707965;45.76784660766962;51.34041297935103;49.11946902654867;248.40501474926253
42;Estrato 1;BOYACA;MAÑANA;48.1163967611336;53.47722672064777;46.989372469635626;52.85526315789474;49.93927125506073;253.9003036437247
43;Estrato 1;BOYACA;NOCHE;41.07194244604317;43.07913669064748;39.87769784172662;46.63309352517986;42.41726618705036;215.18705035971223
44;Estrato 1;BOYACA;SABATINA;41.50909090909091;44.68363636363637;40.65090909090909;46.17454545454545;42.585454545454546;217.52363636363637
45;Estrato 1;BOYACA;TARDE;46.63294797687861;50.58092485549133;46.10982658959538;51.80346820809248;47.835260115606935;244.8757225433526
46;Estrato 1;BOYACA;UNICA;48.53733766233766;53.306006493506494;46.5974025974026;52.265422077922075;50.07873376623377;253.53814935064935
47;Estrato 1;CALDAS;COMPLETA;44.76047904191617;47.612774451097806;44.786427145708586;49.75449101796407;46.70459081836327;235.13572854291417
48;Estrato 1;CALDAS;MAÑANA;46.27171215880893;49.99007444168735;46.562655086848636;51.5514888337469;47.86228287841191;243.6941687344913
49;Estrato 1;CALDAS;NOCHE;39.869257950530034;41.61484098939929;39.10600706713781;45.95406360424028;40.791519434628974;209.13780918727915
50;Estrato 1;CALDAS;SABATINA;39.99238578680203;41.505076142131976;39.2258883248731;44.84263959390863;40.61421319796954;207.71827411167513
51;Estrato 1;CALDAS;TARDE;43.832402234636874;48.597765363128495;45.737430167597765;49.90502793296089;46.03351955307262;234.92737430167597
52;Estrato 1;CALDAS;UNICA;46.43058823529412;49.97098039215686;45.14509803921569;51.130980392156864;47.811764705882354;242.75372549019608
53;Estrato 1;CAQUETA;COMPLETA;49.0;52.08695652173913;48.26086956521739;51.78260869565217;48.56521739130435;250.91304347826087
54;Estrato 1;CAQUETA;MAÑANA;47.04005167958656;51.6156330749354;46.52454780361757;51.973514211886304;47.791343669250644;246.83979328165375
55;Estrato 1;CAQUETA;NOCHE;39.97938144329897;43.51546391752577;38.628865979381445;46.07216494845361;42.68041237113402;213.58762886597938
56;Estrato 1;CAQUETA;SABATINA;38.92563600782779;42.12524461839531;38.510763209393346;44.55772994129158;40.08610567514677;205.9921722113503
57;Estrato 1;CAQUETA;TARDE;46.793103448275865;50.06896551724138;44.55172413793103;50.49425287356322;47.08045977011494;241.49425287356323
58;Estrato 1;CAQUETA;UNICA;47.08438818565401;51.285513361462726;45.35443037974684;51.55836849507735;47.71870604781997;245.50914205344586
59;Estrato 1;CASANARE;COMPLETA;59.714285714285715;64.42857142857143;60.57142857142857;60.285714285714285;62.0;307.57142857142856
60;Estrato 1;CASANARE;MAÑANA;48.2910411622276;54.061985472154966;47.77820823244552;53.34576271186441;50.360774818401936;256.15060532687653
61;Estrato 1;CASANARE;NOCHE;41.52173913043478;45.31884057971015;40.72463768115942;46.95652173913044;43.21739130434783;219.92753623188406
62;Estrato 1;CASANARE;SABATINA;40.588156123822344;44.05383580080753;40.58411843876178;45.64468371467026;42.520861372812924;215.00807537012113
63;Estrato 1;CASANARE;TARDE;48.75;52.76315789473684;48.8421052631579;54.11842105263158;50.68421052631579;256.85526315789474
64;Estrato 1;CASANARE;UNICA;48.89514066496164;53.250639386189256;47.05754475703325;53.03708439897698;49.65601023017903;254.45907928388746
65;Estrato 1;CAUCA;COMPLETA;42.72336065573771;46.442622950819676;41.98360655737705;47.42827868852459;44.877049180327866;225.52254098360655
66;Estrato 1;CAUCA;MAÑANA;45.34559417946645;49.45068714632175;44.50889248181083;50.37914308811641;47.101455133387226;238.97958771220695
67;Estrato 1;CAUCA;NOCHE;40.53333333333333;42.51428571428571;40.095238095238095;46.38095238095238;42.04761904761905;213.26666666666668
68;Estrato 1;CAUCA;SABATINA;39.92619926199262;40.18450184501845;38.33210332103321;43.51291512915129;40.11439114391144;203.68265682656826
69;Estrato 1;CAUCA;TARDE;46.36578947368421;50.43289473684211;45.64473684210526;51.42236842105263;48.17368421052632;244.1657894736842
70;Estrato 1;CAUCA;UNICA;44.37017994858612;47.747215081405315;42.723221936589546;48.63410454155955;45.44644387317909;231.27249357326477
71;Estrato 1;CESAR;COMPLETA;49.50295857988166;53.375739644970416;50.10059171597633;53.828402366863905;51.62721893491124;259.6686390532544
72;Estrato 1;CESAR;MAÑANA;45.15272195834856;49.422360248447205;44.75484106686153;50.55991962002192;46.99543295579101;238.89879430032883
73;Estrato 1;CESAR;NOCHE;37.53846153846154;40.199430199430196;38.01709401709402;43.675213675213676;39.49002849002849;200.25071225071224
74;Estrato 1;CESAR;SABATINA;37.384105960264904;41.29139072847682;37.841059602649004;44.24503311258278;39.443708609271525;201.88079470198676
75;Estrato 1;CESAR;TARDE;44.678013392857146;49.52734375;44.4921875;50.5078125;46.959263392857146;238.27957589285714
76;Estrato 1;CESAR;UNICA;47.44761904761905;50.96054421768707;46.672108843537416;52.39251700680272;48.46190476190476;247.86802721088435
77;Estrato 1;CHOCO;COMPLETA;36.25;42.75;42.25;46.625;44.0;212.0625
78;Estrato 1;CHOCO;MAÑANA;42.39021249195106;45.33676754668384;43.4539600772698;47.72440437862202;42.65228589826143;222.21313586606567
