;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENEINTERNET;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
31;Estrato 1;CUNDINAMARCA;Si;47.30755902100931;51.638293264024256;46.700021659085984;52.30820879358891;48.41953649555989;248.34914446610352
32;Estrato 1;EXTRANJERO;No;45.6;50.0;46.0;48.6;44.8;235.8
33;Estrato 1;EXTRANJERO;Si;55.666666666666664;60.666666666666664;48.333333333333336;58.0;52.166666666666664;280.0
34;Estrato 1;GUAINIA;No;44.78;49.34;44.75;48.61;45.8;234.73
35;Estrato 1;GUAINIA;Si;44.4;50.0;42.35;50.15;43.95;233.8
36;Estrato 1;GUAVIARE;No;42.824933687002655;48.62334217506631;41.42705570291777;48.12466843501326;44.811671087533156;228.69230769230768
37;Estrato 1;GUAVIARE;Si;46.333333333333336;51.31410256410256;43.56410256410256;51.87179487179487;47.30128205128205;243.85897435897436
38;Estrato 1;HUILA;No;46.28210075026795;50.84523043944266;45.41028938906752;51.56120042872455;48.52518756698821;245.01993569131832
39;Estrato 1;HUILA;Si;48.33791801510248;52.78694714131608;47.77642934196332;53.37675296655879;50.24514563106796;254.6229773462783
40;Estrato 1;LA GUAJIRA;No;42.28785425101215;45.8914979757085;41.52712550607288;47.63886639676113;43.648582995951415;223.05141700404857
41;Estrato 1;LA GUAJIRA;Si;45.506538196834136;49.4267033723331;44.69717825189264;50.81693048864418;47.10874053682037;239.71851342050928
42;Estrato 1;MAGDALENA;No;41.29809976247031;44.767390566677975;40.705463182897866;46.983881913810656;43.141669494401086;218.95724465558195
43;Estrato 1;MAGDALENA;Si;44.48550503509307;47.69606347268844;43.69514800122063;49.76777540433323;45.51235886481538;233.10253280439426
44;Estrato 1;META;No;44.318518518518516;49.48888888888889;43.934074074074076;50.11074074074074;46.55148148148148;236.66925925925926
45;Estrato 1;META;Si;47.36517295597484;51.854559748427675;46.527122641509436;52.391902515723274;48.669418238993714;248.99842767295598
46;Estrato 1;NARIÑO;No;46.18549688724925;50.774959649527325;45.38897855660595;50.928176158635004;48.5186765044962;244.07874106525247
47;Estrato 1;NARIÑO;Si;49.705263157894734;54.316631578947366;49.061263157894736;54.05936842105263;51.60631578947368;260.8147368421053
48;Estrato 1;NORTE SANTANDER;No;46.175311620426214;51.613389626055486;45.34800965018094;51.60514676316848;48.6216324889425;245.9155609167672
49;Estrato 1;NORTE SANTANDER;Si;49.209781529294936;54.429245283018865;48.60501489572989;53.996772591857;51.111717974180735;259.56876861966236
50;Estrato 1;PUTUMAYO;No;44.756637168141594;49.41937069813176;43.9803343166175;49.93756145526057;46.61602753195674;236.9906588003933
51;Estrato 1;PUTUMAYO;Si;48.83712121212121;53.2939393939394;47.43484848484849;53.400757575757574;50.24242424242424;255.6810606060606
52;Estrato 1;QUINDIO;No;44.42800318217979;47.81543357199682;44.74542561654734;50.11774065234686;45.40572792362769;233.87350835322195
53;Estrato 1;QUINDIO;Si;47.61188554658841;51.245047688921495;48.16581071166544;52.6984592809978;48.40865737344094;249.2494497432135
54;Estrato 1;RISARALDA;No;44.81428571428572;47.556;44.585142857142856;50.10971428571428;46.02628571428571;234.65885714285713
55;Estrato 1;RISARALDA;Si;47.315900686740626;50.65821447437929;47.70470153195985;52.07712625462229;48.338087691494984;247.2551505546751
56;Estrato 1;SAN ANDRES;No;41.78709677419355;44.645161290322584;49.69032258064516;48.60645161290323;43.21290322580645;224.78709677419354
57;Estrato 1;SAN ANDRES;Si;41.861111111111114;45.875;48.44444444444444;49.30555555555556;43.791666666666664;227.26388888888889
58;Estrato 1;SANTANDER;No;47.07363041047756;52.38604056859926;45.270084651014216;52.11132406963744;49.267529148698294;249.14470531863918
59;Estrato 1;SANTANDER;Si;49.63706335109532;54.5147029800671;48.00276297611999;54.23070850601934;51.12867574501678;260.21018354055656
60;Estrato 1;SUCRE;No;43.895188696118765;47.83276694687891;43.495617957431584;49.592917188338404;46.55177964585942;233.50974780897872
61;Estrato 1;SUCRE;Si;49.180085569817194;52.73356670556204;48.04784130688448;53.82108129132633;50.707506806690006;256.6732788798133
62;Estrato 1;TOLIMA;No;43.32991042167359;47.1157963731702;42.650863010705706;48.61481319641687;44.97487437185929;228.7478697837011
63;Estrato 1;TOLIMA;Si;46.222705961152045;49.57267247153383;45.49464166108506;51.24547890154052;47.479571332886806;241.94239785666443
64;Estrato 1;VALLE;No;44.037018996590355;47.17860042214645;43.319694755642146;49.643773339827895;45.11251826595227;231.23916220165611
65;Estrato 1;VALLE;Si;46.99041802674529;49.9094450879225;46.670106349373484;52.1114036011372;47.85258502685058;245.09929451405708
66;Estrato 1;VAUPES;No;43.666666666666664;45.89617486338798;43.36065573770492;47.34426229508197;43.967213114754095;225.3551912568306
67;Estrato 1;VAUPES;Si;44.857142857142854;45.57142857142857;44.642857142857146;48.785714285714285;43.714285714285715;228.28571428571428
68;Estrato 1;VICHADA;No;45.77067669172932;49.19548872180451;42.33458646616541;50.59398496240601;46.8984962406015;238.33834586466165
69;Estrato 1;VICHADA;Si;45.72727272727273;51.25454545454546;44.72727272727273;51.054545454545455;47.472727272727276;242.78181818181818
70;Estrato 2;AMAZONAS;No;43.87317073170732;46.59512195121951;45.707317073170735;48.91219512195122;45.229268292682924;230.609756097561
71;Estrato 2;AMAZONAS;Si;44.98245614035088;49.78947368421053;45.98245614035088;50.578947368421055;46.6140350877193;239.24561403508773
72;Estrato 2;ANTIOQUIA;No;43.64317622390373;46.80271674719665;42.59248792050324;49.40331844288449;44.16154617558574;228.702616464582
73;Estrato 2;ANTIOQUIA;Si;47.96835501147667;50.714552410099465;47.54680948737567;53.20110175975516;47.6938026013772;248.5681713848508
74;Estrato 2;ARAUCA;No;44.068345323741006;49.185251798561154;44.29136690647482;49.89748201438849;46.58273381294964;235.9640287769784
75;Estrato 2;ARAUCA;Si;49.166666666666664;54.008849557522126;49.55309734513274;54.15486725663717;50.08259587020649;258.37905604719765
76;Estrato 2;ATLANTICO;No;43.30028039765486;47.68569971960235;44.82538873311241;49.39459597247005;45.38898801937293;231.59189395870507
77;Estrato 2;ATLANTICO;Si;49.197327267557576;52.97298834233722;50.93090702303099;54.33920955359682;50.29693867879822;258.2145768173633
78;Estrato 2;BOGOTA;No;44.22727272727273;46.07272727272727;43.79090909090909;48.88181818181818;44.8;229.0818181818182
79;Estrato 2;BOGOTA;Si;45.7545045045045;48.59234234234234;47.630630630630634;51.317567567567565;46.788288288288285;240.36261261261262
80;Estrato 2;BOGOTÁ;No;46.364548494983275;50.49639148037318;46.98820630170744;51.836120401337794;47.76993487062137;244.76887871853546
81;Estrato 2;BOGOTÁ;Si;50.45486473870229;54.1090981839198;50.95452019472292;54.93542578967257;51.17622868828773;262.68668726520997
82;Estrato 2;BOLIVAR;No;41.23005050505051;45.37020202020202;42.285606060606064;47.52878787878788;43.451262626262626;221.164898989899
83;Estrato 2;BOLIVAR;Si;47.95495495495496;51.577744411077745;49.167667667667665;53.30663997330664;49.12929596262929;251.94711378044713
84;Estrato 2;BOYACA;No;47.793240934118096;53.213594076324284;47.00037972280236;52.280994873742166;49.83595974938295;252.45168027340043
85;Estrato 2;BOYACA;Si;52.705760517799355;57.08466019417476;51.53411003236246;56.310161812297736;53.50058252427184;273.20828478964404
86;Estrato 2;CALDAS;No;44.58126969833408;47.83520936515083;44.520036019810895;49.84421431787483;46.35389464205313;234.75596578117964
87;Estrato 2;CALDAS;Si;48.70391595033429;52.021251193887295;48.879178605539636;53.44269340974212;49.760744985673355;254.09861509073542
88;Estrato 2;CAQUETA;No;43.535276073619634;47.872699386503065;43.05521472392638;49.24846625766871;45.644171779141104;231.5276073619632
89;Estrato 2;CAQUETA;Si;47.38527397260274;51.50856164383562;47.38013698630137;52.52140410958904;48.232020547945204;248.58818493150685
90;Estrato 2;CASANARE;No;45.12989175686928;51.27810158201499;45.84596169858451;50.9766860949209;47.91090757701915;242.9691923397169
91;Estrato 2;CASANARE;Si;49.10676328502416;54.219323671497584;49.2719806763285;53.8743961352657;50.356521739130436;258.4405797101449
92;Estrato 2;CAUCA;No;43.0599700149925;47.067966016991505;42.964517741129434;48.64617691154423;45.1984007996002;228.80509745127435
93;Estrato 2;CAUCA;Si;48.90624020068987;52.904985888993416;48.619316400125435;53.58921291941047;50.262151144559425;255.9978049545312
94;Estrato 2;CESAR;No;43.88650839606254;48.36363636363637;44.81412854661262;49.79849449913144;46.203821656050955;234.44528083381587
95;Estrato 2;CESAR;Si;49.28060368921185;52.7624371157071;49.67467859139184;53.910844046953606;50.58384572386808;257.4147568474008
96;Estrato 2;CHOCO;No;38.88468809073724;42.459357277882795;40.400756143667294;44.93005671077505;39.95652173913044;207.3459357277883
97;Estrato 2;CHOCO;Si;43.23850085178876;46.54003407155025;45.100511073253834;48.689948892674614;43.4923339011925;227.29642248722317
