ANIO;FAMI_EDUCACION;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL;PADRE
20142;Educación profesional completa;57.4587387576921;59.493399253142584;57.31917635302162;57.353889444064585;286.8322726555515;papa
20142;Educación profesional incompleta;57.47630759140843;58.138055418921134;57.522380718150515;57.557960321364156;286.862108542384;papa
20142;Ninguno;46.16921416234888;46.57072538860103;46.17962003454232;46.25310880829016;231.69093264248704;papa
20142;No sabe;49.59552075019952;49.644154030327215;50.02633679169992;49.66595171588188;248.8445730247406;papa
20142;Postgrado;63.04340646378863;67.74463316820005;61.78957301250295;62.682236376503894;312.98678933710784;papa
20142;Primaria completa;47.90765314692543;47.49530319279521;47.6787177134883;47.92089723876836;239.24398847440983;papa
20142;Primaria incompleta;46.99151907138115;46.81257361917204;46.6995159874071;47.14794508812884;235.0205384104684;papa
20142;Secundaria (Bachillerato) completa;50.90638282544485;50.451318348822134;51.23268316403718;50.823760896189036;254.4780995605504;papa
20142;Secundaria (Bachillerato) incompleta;49.48698711797377;48.85331065166187;49.535869027886825;49.33897467213353;246.90219256157494;papa
20142;Técnica o tecnológica completa;54.790790945200726;54.707223014924224;55.19864255138637;54.895800393351585;274.19740850719216;papa
20142;Técnica o tecnológica incompleta;52.796328240512565;52.53413011335633;53.27747658945293;52.90364711680631;264.3318137013307;papa
20151;Educación profesional completa;64.5798336376547;71.06350172448772;61.43822276323798;64.88800973828363;321.57516737674985;papa
20151;Educación profesional incompleta;62.02264150943396;65.97924528301887;59.635849056603774;61.89622641509434;309.0433962264151;papa
20151;Ninguno;46.24083129584352;47.08435207823961;46.36919315403423;44.17114914425428;228.97188264058678;papa
20151;No sabe;50.61195542046606;52.073961499493414;50.58054711246201;49.671732522796354;252.8885511651469;papa
20151;Postgrado;71.52307195869635;79.88447886414973;66.05808325266214;70.69312681510165;351.9486931268151;papa
20151;Primaria completa;45.35594202898551;45.9368115942029;45.99304347826087;43.62086956521739;225.97855072463767;papa
20151;Primaria incompleta;43.784395473496126;44.78618225134009;44.60095294818344;41.136986301369866;216.9714115544967;papa
20151;Secundaria (Bachillerato) completa;50.34339014279134;51.02049746660525;50.67065868263473;50.10801473975127;252.67411331183786;papa
20151;Secundaria (Bachillerato) incompleta;47.726027397260275;48.11671232876712;48.32164383561644;46.58520547945206;238.63232876712328;papa
20151;Técnica o tecnológica completa;55.70996441281139;56.82443653618031;55.16073546856465;56.53262158956109;279.9762752075919;papa
20151;Técnica o tecnológica incompleta;51.210131332082554;52.38461538461539;51.3358348968105;51.20450281425891;257.18011257035647;papa
