ANIO;mean;min;max;count;mean;min;max;count;mean;min;max;count;mean;min;max;count;mean;min;max;count;mean;min;max;count
20191;56.73373109476898;18;100;14414;59.676980713195505;16;100;14414;63.801928680449564;0.0;100.0;14414;60.06236991813515;21;100;14414;57.55002081309838;23;100;14414;294.5656306368808;123;470;14414
20192;47.207654499253614;0;100;389209;51.82489870480899;15;100;389209;49.58105285335128;0.0;100.0;389209;53.08218720533184;0;100;389209;49.37400728143491;20;100;389209;251.55658271006067;108;477;389209
20201;57.35033301617507;18;100;10510;60.91693625118934;0;100;10510;67.948715509039;0.0;100.0;10510;61.076213130352045;22;100;10510;58.175737392959086;21;100;10510;300.1928639391056;132;479;10510
20202;48.939635743600505;0;100;371826;51.86188163280674;0;100;371826;47.63850833454358;0.0;100.0;371826;52.79650696831314;0;100;371826;48.9832986396863;0;100;371826;252.07015647103754;0;500;371826
