ANIO;ESTU_DEPTO_RESIDE;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
20191;ANTIOQUIA;50.4;54.96415094339623;53.79056603773585;48.70754716981132;253.88490566037737
20191;ARAUCA;44.76315789473684;40.05263157894737;47.36842105263158;41.81578947368421;217.44736842105263
20191;ATLANTICO;63.12585812356979;72.63157894736842;63.38901601830664;60.41876430205949;313.3318077803204
20191;BOGOTA;63.41213389121339;70.05203974895397;62.75836820083682;60.42756276150627;311.9061192468619
20191;BOLIVAR;67.21052631578948;74.85964912280701;65.69736842105263;63.925438596491226;329.780701754386
20191;BOYACA;50.16666666666666;49.422222222222224;51.67777777777778;48.44444444444444;247.06666666666663
20191;CALDAS;57.60629921259842;61.7007874015748;57.92125984251968;56.1259842519685;285.78740157480314
20191;CAQUETA;42.0;40.35416666666666;44.66666666666666;41.91666666666666;210.77083333333331
20191;CASANARE;51.85714285714285;45.92857142857143;52.92857142857143;45.5;244.28571428571428
20191;CAUCA;59.78268251273344;59.36502546689304;59.6553480475382;58.31748726655348;292.9898132427844
20191;CESAR;47.9622641509434;50.33962264150944;51.820754716981135;47.301886792452834;244.35849056603772
20191;CHOCO;39.625;36.125;45.125;40.25;204.75
20191;CORDOBA;67.07142857142857;76.60714285714286;66.14285714285714;66.96428571428571;337.0
20191;CUNDINAMARCA;56.53168469860896;60.27975270479134;57.2952086553323;54.57650695517774;279.0432766615147
20191;GUAINIA;42.76923076923077;40.30769230769231;45.76923076923077;41.61538461538461;215.53846153846155
20191;HUILA;43.78095238095238;44.2;47.8;42.86666666666667;221.97142857142856
20191;LA GUAJIRA;60.93617021276596;69.1063829787234;61.7872340425532;59.4468085106383;302.63829787234044
20191;MAGDALENA;58.03225806451613;66.33870967741936;58.67741935483871;54.25806451612903;285.9193548387097
20191;META;43.9;41.43333333333333;45.0;43.8;215.7
20191;NARIÑO;60.60310421286031;60.12860310421286;60.11973392461197;59.26829268292683;295.97117516629714
20191;NORTE SANTANDER;44.53488372093023;43.5;47.84883720930232;44.06976744186046;221.1860465116279
20191;PUTUMAYO;40.8;38.1;44.6;41.3;207.0
20191;QUINDIO;64.6046511627907;72.62790697674419;61.95348837209303;61.74418604651163;316.3488372093023
20191;RISARALDA;59.38383838383838;65.11616161616162;59.65656565656565;56.88383838383838;293.82323232323233
20191;SANTANDER;62.22608695652174;65.05652173913043;61.70869565217392;59.095652173913045;302.09565217391304
20191;SUCRE;44.85714285714285;45.5;50.07142857142857;44.35714285714285;230.64285714285717
20191;TOLIMA;44.14634146341464;41.926829268292686;46.95121951219512;43.14634146341464;220.0731707317073
20191;VALLE;60.02959201540886;63.09017685168972;60.49938714760987;58.25512169497461;296.2978462616004
20191;VICHADA;44.0;40.5;52.0;38.0;207.5
20192;AMAZONAS;44.14889336016097;44.38028169014085;47.29175050301811;43.670020120724345;220.9758551307847
20192;ANTIOQUIA;50.51850681340745;48.86458701269729;53.14249595657266;47.805841125838896;247.79180532059263
20192;ARAUCA;51.196926809543065;46.78245046502224;51.26809543065103;48.03396684189244;244.0469065911848
20192;ATLANTICO;50.80009803484693;49.862127356178426;52.59342275299674;48.95788957711332;248.3418296867341
20192;BOGOTÁ;55.66129479052942;55.34359367107172;56.32650035033975;52.87821212664375;270.52935521191483
20192;BOLIVAR;47.41879186743448;45.1141144670349;49.5369608649665;45.67081913268304;231.44517569632157
20192;BOYACA;55.55883678990081;50.96318004207996;54.47287345957319;51.87541328524196;263.5406522392546
20192;CALDAS;51.21568627450981;49.21342383107089;52.59879336349925;49.2447209653092;249.6794871794872
20192;CAQUETA;49.55352644836272;45.48929471032746;50.579030226700255;46.455919395466;238.2147355163728
20192;CASANARE;52.73868882733149;48.53993536472761;52.45821791320406;49.203831948291786;250.6618190212373
20192;CAUCA;48.893555478421845;45.186277912761774;50.13652666898068;46.98738863820433;236.9198195071156
20192;CESAR;50.13983774551665;47.35119555935098;51.48281383432963;48.04312553373185;243.1441076003416
20192;CHOCO;43.28391376451078;41.459369817578775;45.71674958540631;40.7787728026534;211.13034825870648
20192;CORDOBA;49.423071138517074;46.72762821476914;51.32666566400962;48.15100015039856;241.29004361558128
20192;CUNDINAMARCA;53.000547152851055;50.24563254777817;53.621682885840464;50.0219642787353;255.27322468441005
20192;GUAINIA;48.9873417721519;45.72784810126582;48.43037974683544;46.25316455696203;233.78481012658227
20192;GUAVIARE;48.5141065830721;42.58934169278997;49.03134796238245;45.52507836990596;231.06896551724137
20192;HUILA;53.11283394447354;49.33263488737559;53.48580408590885;50.83446830801467;255.986066003143
20192;LA GUAJIRA;45.90169431697847;42.84345217084363;47.993116837274975;44.15019414048712;223.7673843981645
20192;MAGDALENA;46.361580356318655;43.22016062032678;48.69971383734884;44.38835041078187;226.2082525616173
20192;META;52.18793530870027;48.53689056781962;52.907803092905205;49.098925746665095;250.29819383779957
20192;NARIÑO;52.50254995401722;48.780369534319874;52.57946659978263;50.23501379483321;252.33968731711397
20192;NORTE SANTANDER;54.45286645495571;50.27770349323082;54.20976098947016;51.33402975096106;259.72154437573124
20192;PUTUMAYO;50.29034531360113;45.91754756871036;50.717758985200845;48.01973220577872;241.48801973220577
20192;QUINDIO;52.47244582043344;51.18637770897833;53.62332301341589;49.76862745098039;254.90257997936013
20192;RISARALDA;52.05920734654423;51.13653939101015;53.697438376027065;49.78467858869019;254.54325761237317
20192;SAN ANDRES;46.30434782608695;54.56916996047431;49.8794466403162;44.14624505928854;232.03359683794463
