;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENELAVADORA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
86;Estrato 2;CALDAS;No;45.60606060606061;48.23863636363637;45.36515151515152;50.45378787878788;46.847727272727276;237.98636363636365
87;Estrato 2;CALDAS;Si;47.70819414423266;51.17547651797996;47.88819021418746;52.64747494596188;49.0294753389664;249.83611711534684
88;Estrato 2;CAQUETA;No;43.8241965973535;47.79395085066162;43.47448015122873;49.22117202268431;45.26086956521739;231.4499054820416
89;Estrato 2;CAQUETA;Si;46.90007745933385;51.19442292796282;46.79628195197521;52.22075910147173;48.1425251742835;246.9945778466305
90;Estrato 2;CASANARE;No;45.97205346294046;51.037667071688944;46.04009720534629;51.534629404617256;47.93681652490887;244.39611178614823
91;Estrato 2;CASANARE;Si;48.20955882352941;53.845996732026144;48.677696078431374;53.23937908496732;49.970179738562095;255.5718954248366
92;Estrato 2;CAUCA;No;44.51893597835888;48.216862037871955;44.30568079350766;49.597385031559966;46.20559062218214;234.5906221821461
93;Estrato 2;CAUCA;Si;48.2442799461642;52.47375504710632;48.03129205921938;53.24024226110363;49.88021534320323;253.66554508748317
94;Estrato 2;CESAR;No;46.56093023255814;50.313488372093026;46.88744186046512;51.733953488372094;47.992558139534886;244.87348837209302
95;Estrato 2;CESAR;Si;47.769503546099294;51.58888888888889;48.39858156028369;52.785106382978725;49.454137115839245;251.22411347517732
96;Estrato 2;CHOCO;No;38.96803652968037;41.821917808219176;42.50684931506849;45.141552511415526;40.23287671232877;208.0958904109589
97;Estrato 2;CHOCO;Si;41.71348940914158;45.28539576365663;42.962095875139354;47.33890746934225;42.20289855072464;220.21850613154962
98;Estrato 2;CORDOBA;No;45.08625877632899;48.91775325977934;45.75626880641926;50.70210631895687;47.391173520561686;239.23871614844535
99;Estrato 2;CORDOBA;Si;46.65698557327259;50.622247532270315;47.83124525436598;52.34396355353075;49.07441154138193;247.66097190584662
100;Estrato 2;CUNDINAMARCA;No;47.41645633518425;51.59540636042403;46.18248359414437;52.24810701665825;48.46567390206966;248.21807168096922
101;Estrato 2;CUNDINAMARCA;Si;49.19511686143573;53.71499373956594;49.23158388981636;53.99274833055092;50.36941777963272;258.09661936560934
102;Estrato 2;EXTRANJERO;Si;40.5;53.5;46.0;49.5;52.5;244.0
103;Estrato 2;GUAINIA;No;45.04347826086956;49.82608695652174;43.65217391304348;47.56521739130435;45.73913043478261;233.82608695652175
104;Estrato 2;GUAINIA;Si;49.972972972972975;55.37837837837838;50.013513513513516;55.2027027027027;51.445945945945944;263.8918918918919
105;Estrato 2;GUAVIARE;No;43.71910112359551;47.662921348314605;42.49438202247191;49.62921348314607;45.49438202247191;231.5505617977528
106;Estrato 2;GUAVIARE;Si;46.67741935483871;51.982078853046595;45.82078853046595;51.903225806451616;48.831541218637994;247.69175627240142
107;Estrato 2;HUILA;No;48.41920903954802;52.066101694915254;47.11412429378531;52.811299435028246;49.855932203389834;252.52937853107343
108;Estrato 2;HUILA;Si;49.679509035117626;54.25536992840095;49.917149676099555;54.336685987043985;51.42840095465394;261.1563245823389
109;Estrato 2;LA GUAJIRA;No;43.63090128755365;46.67381974248927;43.17024320457797;48.5722460658083;44.682403433476395;228.39484978540773
110;Estrato 2;LA GUAJIRA;Si;45.738195615514336;49.80902192242833;45.57504215851602;51.147976391231026;47.27192242833052;241.34443507588531
111;Estrato 2;MAGDALENA;No;43.20700985761227;46.44140197152245;43.0197152245345;48.499452354874045;44.41511500547645;227.19386637458928
112;Estrato 2;MAGDALENA;Si;43.98833218943034;47.64813543811485;44.32212308396248;49.54609929078014;45.468313886982386;232.4106611759323
113;Estrato 2;META;No;46.169319826338636;50.71852387843705;45.618668596237335;51.73227206946454;47.750361794500726;244.12518089725037
114;Estrato 2;META;Si;47.362552176505666;52.5537666467899;47.47724110514808;53.034188034188034;49.11945935201749;251.42317630689723
115;Estrato 2;NARIÑO;No;48.08510638297872;52.52994483845548;47.792356185973205;52.744680851063826;50.40464933018124;253.4964539007092
116;Estrato 2;NARIÑO;Si;50.90564987475647;55.635402170887836;51.56136932925132;55.425549679933205;53.01836905093237;267.8936821597551
117;Estrato 2;NORTE SANTANDER;No;48.41993720565149;53.48155416012559;48.282967032967036;53.472135007849296;50.66208791208791;256.30337519623237
118;Estrato 2;NORTE SANTANDER;Si;49.67114184974234;55.24640629237863;50.24288039056143;54.728912394901;51.85828586927041;263.3713045836724
119;Estrato 2;PUTUMAYO;No;43.53364269141532;48.635730858468676;44.71461716937355;48.82830626450116;45.90255220417633;232.84686774941994
120;Estrato 2;PUTUMAYO;Si;48.110799438990185;52.87938288920056;47.83169705469846;52.92987377279103;49.99579242636746;253.6788218793829
121;Estrato 2;QUINDIO;No;46.76489028213166;50.12852664576803;46.49373040752351;51.71943573667711;47.60031347962382;244.27742946708463
122;Estrato 2;QUINDIO;Si;48.77256077256077;52.50849150849151;49.274059274059276;53.58008658008658;49.62404262404262;254.89743589743588
123;Estrato 2;RISARALDA;No;46.43161978661494;49.241513094083416;46.18137730358875;51.559650824442286;47.40349175557711;242.33850630455868
124;Estrato 2;RISARALDA;Si;48.35922520054784;51.769125415769906;49.14576403834866;53.37233418117785;49.50283701819605;253.1377421248288
125;Estrato 2;SAN ANDRES;No;42.23076923076923;43.69230769230769;50.84615384615385;49.15384615384615;41.69230769230769;223.53846153846155
126;Estrato 2;SAN ANDRES;Si;43.4382871536524;45.848866498740556;54.211586901763226;49.31738035264484;43.914357682619645;231.42821158690177
127;Estrato 2;SANTANDER;No;49.28089475614228;53.93986065273194;47.67473414008067;54.126879354602124;50.88925559222589;258.62046204620464
128;Estrato 2;SANTANDER;Si;50.80452674897119;55.9126856324924;50.24351404544641;55.61692610484881;52.46367865449991;267.1667561281088
129;Estrato 2;SUCRE;No;46.11295180722892;49.605421686746986;46.30722891566265;51.42620481927711;48.243975903614455;243.24548192771084
130;Estrato 2;SUCRE;Si;47.48349401110137;51.58252994449313;48.1034180543383;53.044113350861814;49.75197195442594;251.4127957931639
131;Estrato 2;TOLIMA;No;44.72275862068965;48.19448275862069;44.22551724137931;49.96448275862069;46.05551724137931;235.01310344827587
132;Estrato 2;TOLIMA;Si;47.679243106034384;51.39817699319257;47.967924310603436;52.658474674051;49.04949809622707;250.12922579900774
133;Estrato 2;VALLE;No;46.996764408493426;49.90030333670374;46.938119312436804;52.148634984833166;47.906976744186046;245.2978766430738
134;Estrato 2;VALLE;Si;48.64100628930817;51.891270440251574;49.46450314465409;53.705106918239;49.685182389937104;254.31904402515724
135;Estrato 2;VAUPES;No;42.94444444444444;42.80555555555556;40.111111111111114;45.083333333333336;40.416666666666664;213.02777777777777
136;Estrato 2;VAUPES;Si;46.64705882352941;50.23529411764706;45.05882352941177;52.11764705882353;46.705882352941174;243.1764705882353
137;Estrato 2;VICHADA;No;42.325;47.45;42.75;48.025;44.95;227.275
138;Estrato 2;VICHADA;Si;45.90384615384615;50.06730769230769;46.18269230769231;51.67307692307692;46.44230769230769;241.72115384615384
139;Estrato 3;AMAZONAS;No;44.61363636363637;44.93181818181818;42.38636363636363;48.65909090909091;44.90909090909091;227.61363636363637
140;Estrato 3;AMAZONAS;Si;48.07079646017699;51.982300884955755;50.11504424778761;53.23893805309734;49.10619469026549;252.8230088495575
141;Estrato 3;ANTIOQUIA;No;46.90221088435374;49.17857142857143;46.50255102040816;51.85884353741496;46.673469387755105;242.4362244897959
